;;;;;;1. ____________ ________ _______ y=bx+a;;;;;;;;;;
;;;;;;b;a;;;;;;;;;
;;;;;;8430268,294;83903467,24;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;2. ______ _____________ __________;;;;;3. ______ ________;;;;
YEAR(o_date);MONTH(o_date);SUM(price);x;;; 2. ________ ______ ;3. __________ ___________ ________ __ ________ ______;4. _______ __________ ___ _______ ______;5. _____ ______ __________;___ ______ ______ ___________;6. ____________ __________ _________ __ _____;7. ______ ______, __ _______ _____ __________ _______;8. ____________ ________ ______ ___ _______ ________;___ ______ ______ _____ _____ ___________;9. ______ ________;___________ ________
2016;1;96813765;1;;;92333735,54;1,048519963;0,982130207;1,001655389;1;0,980507087;25;294660174,6;1;288 916 389;256 798 898
2016;2;95437768;2;;;100764003,8;0,947141483;0,873762953;;2;0,872318926;26;303090442,9;2;264 391 530;232 640 416
2016;3;115272460;3;;;109194272,1;1,055663981;1,038373187;;3;1,036657117;27;311520711,2;3;322 940 162;267 994 924
2016;4;139325826;4;;;117624540,4;1,184496241;1,04397556;;4;1,04225023;28;319950979,5;4;333 468 982;262 849 522
2016;5;108588562;5;;;126054808,7;0,861439267;0,908409068;;5;0,906907783;29;328381247,8;5;297 811 510;276 933 049
2016;6;116678639;6;;;134485077;0,867595436;0,826245813;;6;0,824880315;30;336811516,1;6;277 829 190;251 486 085
2016;7;113193617;7;;;142915345,3;0,792032631;0,779559445;;7;0,778271104;31;345241784,4;7;268 691 705;250 559 778
2016;8;139563268;8;;;151345613,6;0,922149408;0,868704977;;8;0,867269309;32;353672052,6;8;306 728 917;261 724 749
2016;9;152918540;9;;;159775881,9;0,957081496;0,884840083;;9;0,88337775;33;362102320,9;9;319 873 133;276 675 505
2016;10;211635299;10;;;168206150,2;1,258190017;1,149235432;;10;1,147336145;34;370532589,2;10;425 125 432;287 647 539
2016;11;256657179;11;;;176636418,5;1,453025266;1,314531069;;11;1,312358605;35;378962857,5;11;497 335 167;363 102 609
2016;12;258962091;12;;;185066686,8;1,399290686;1,350096871;;12;1,34786563;36;387393125,8;12;522 153 879;422 386 052
2017;1;177192989;13;;;193496955,1;0,915740452;;;;;;;;;
2017;2;161619404;14;;;201927223,4;0,800384422;;;;;;;;;
2017;3;214792331;15;;;210357491,7;1,021082393;;;;;;;;;
2017;4;197664869;16;;;218787759,9;0,903454878;;;;;;;;;
2017;5;217079303;17;;;227218028,2;0,95537887;;;;;;;;;
2017;6;184959450;18;;;235648296,5;0,784896189;;;;;;;;;
2017;7;187229313;19;;;244078564,8;0,767086258;;;;;;;;;
2017;8;205860489;20;;;252508833,1;0,815260545;;;;;;;;;
2017;9;212038767;21;;;260939101,4;0,812598671;;;;;;;;;
2017;10;280219796;22;;;269369369,7;1,040280847;;;;;;;;;
2017;11;326702617;23;;;277799638;1,176036871;;;;;;;;;
2017;12;372357360;24;;;286229906,3;1,300903057;;;;;;;;;
